Goldfish Swim School,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by Mile Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children 9 Years and Under (with Household Incomes Greater than $100K and All Children),,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing/Planned Locations,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing/Planned U.S. Locations,DMA,<1 Mile Kids > $100K,<1 Mile All Kids,<2 Miles Kids > $100K,<2 Miles All Kids,<3 Miles Kids > $100K,<3 Miles All Kids,<4 Miles Kids > $100K,<4 Miles All Kids,<5 Miles Kids > $100K,<5 Miles All Kids,<6 Miles Kids > $100K,<6 Miles All Kids,<7 Miles Kids > $100K,<7 Miles All Kids,<8 Miles Kids > $100K,<8 Miles All Kids,<9 Miles Kids > $100K,<9 Miles All Kids,<10 Miles Kids > $100K,<10 Miles All Kids,15 Minutes Kids > $100K,15 Minutes All Kids,20 Minutes Kids > $100K,20 Minutes All Kids,25 Minutes Kids > $100K,25 Minutes All Kids
"Rockland, MA",Boston MA (Manchester NH),62,225,541,"1,481","1,808","5,306","3,261","8,833","5,032","13,082","7,544","19,737","10,264","27,793","13,505","38,989","16,838","50,172","20,166","58,296","6,085","15,631","13,466","36,133","29,048","82,907"
"Roscoe Village, IL",Chicago IL,"3,281","9,012","15,138","45,657","30,776","98,954","43,960","148,448","55,630","190,848","69,053","231,187","79,870","270,519","89,624","309,777","96,549","338,157","103,561","368,994","61,233","190,322","84,319","287,916","115,400","426,265"
"South Jordan, UT",Salt Lake City UT,524,"1,186","2,247","5,713","5,452","15,433","10,587","34,391","16,437","52,960","22,764","70,984","29,293","92,455","34,129","111,822","37,345","129,199","40,373","144,678","25,162","84,804","45,758","175,768","57,956","224,982"
"St. Charles, IL",Chicago IL,265,651,"1,009","2,393","1,845","4,153","3,614","8,308","6,069","13,785","8,498","18,605","13,593","29,500","17,687","40,605","24,029","59,622","32,036","85,200","9,268","21,285","24,196","62,028","44,251","121,781"
"Stapleton, CO",Denver CO,0,0,918,"2,557","3,746","13,538","6,225","28,935","9,369","42,424","13,528","59,929","20,500","91,042","28,715","126,139","35,752","156,871","42,680","191,382","19,084","91,122","43,456","198,215","75,303","292,275"
"Wake Forest, NC (Raleigh)",Raleigh-Durham (Fayetteville) NC,288,688,"1,644","3,656","3,121","7,260","4,591","11,684","6,459","17,117","7,628","20,442","9,030","25,802","10,816","33,733","12,511","39,405","14,956","47,102","9,154","28,445","16,996","53,752","25,130","83,429"
"West Chester, OH",Cincinnati OH,309,"1,087","1,274","3,220","2,706","6,556","4,970","11,772","7,446","17,969","9,467","23,402","11,777","31,487","14,090","39,262","16,393","49,325","19,385","61,899","10,101","31,115","19,994","76,206","31,589","131,420"
"West Houston, TX",Houston TX,"1,229","4,340","5,081","15,730","9,194","28,858","12,317","42,198","16,373","64,337","21,047","89,509","28,859","118,052","39,462","158,517","51,857","197,023","64,684","232,233","20,524","86,885","56,914","202,586","117,581","364,221"
"Westerville, OH",Columbus OH,262,"1,386","1,331","6,751","3,271","15,159","5,350","24,595","9,000","36,039","13,049","49,181","16,716","60,225","19,462","71,806","22,539","82,494","27,296","97,912","14,327","55,151","27,781","105,703","43,003","163,245"
"Westford, MA",Boston MA (Manchester NH),100,163,447,673,"1,393","2,283","2,562","4,383","3,616","6,292","5,159","9,231","7,508","14,764","10,538","23,045","13,791","32,605","16,624","39,122","7,620","19,153","14,753","36,277","30,266","78,444"
